x,y,waga
526403.1697987394,545363.9546211287,3.4125
333429.4622704301,574365.4195054527,2.44
368982.03015648894,569753.2620224627,8.0
294854.191149063,587383.4500869485,3.97
243898.83223023496,597974.8594634887,2.73
338896.98599038954,585727.399698005,4.0
678142.6770646177,541744.7855704706,9.0
244417.94913251427,601959.6330531938,4.905
311726.7325721233,593259.769192867,9.0
304320.64690453745,598262.0418808563,0.18
213747.02945743158,614019.7099479875,3.33
261292.04412766406,607861.1324355537,5.74
277122.9538825619,605777.2574317735,0.5549999999999999
656077.572865878,556678.6212292891,1.15
789754.7855868253,539287.1234219903,10.2
809412.7043616563,536733.0556006795,7.0
813852.8530166794,540155.0038442519,2.6374999999999997
821727.0373604596,539134.8715829393,4.0
222716.56432934414,620902.8031372,2.225
810429.3545590052,544606.9409307148,7.0
818295.7370689779,543574.6756317699,2.18
826166.6741379815,542555.1166976141,5.0
270751.0940243723,618697.7288424671,5.0
302409.83887579775,614599.8975519845,0.4625
314273.35628684564,613063.0280034887,10.0
511799.7248335274,587426.6859042626,0.72
543394.1457805643,583271.1180540798,4.0
818800.749100893,547506.1926820595,4.0
318739.6941774712,616509.0178550296,1.455
350390.5017131294,612344.4492205046,7.0
354345.07897753746,611831.9711458199,4.0
815376.1915758213,551958.0881583914,8.67
823233.8077998022,550920.5536828581,2.18
831588.2124577672,553846.1030854927,9.0
268336.4748626878,631099.6590845995,5.0
820316.6243628904,559294.747329426,7.0
828172.5522603102,558273.072474842,0.88
304480.85200949473,630439.1156983282,9.0
411229.5280991599,616491.2541663051,4.0
812972.2688630989,564238.9853851553,4.0
281228.9134871991,637447.4642311558,3.85
585356.3275130312,597878.803523357,2.02
825261.1455966483,566648.775893623,4.33
829191.1222366563,566154.9807456685,5.0
688211.8906801408,588441.4274297059,0.39
817909.6069911523,571563.6859747078,3.9000000000000004
266454.19908535597,647461.1256523402,5.0
282263.1725572668,645364.887589505,2.78
321838.0642548086,640246.2133632023,6.175
519361.38692029205,614448.6133479103,2.61
574552.5963229637,607291.750579007,1.75
235272.20840567694,655540.7446197746,4.0
401420.74424264085,633859.8976995731,5.0
618412.3747829772,605622.4602901386,2.57
362442.41270683275,642981.4022587296,0.37
583461.0739512005,614114.1355983866,1.2625
591328.8996588202,613090.9399450244,5.0
689750.4688688623,600277.5216171024,9.115
823369.6879293981,582892.0770960506,1.505
827290.2404792403,582404.5347825848,2.87
236316.5067914173,663495.5687260777,7.0
303601.96052346996,654643.0060019828,1.6125
307560.20610059553,654116.6603571987,8.0
374812.0754061134,645355.2435525721,5.48
382717.9485373496,644316.7607591366,4.0
607618.8751525155,615017.7651786022,19.3525
619447.4253303984,613492.8154278211,2.67
804256.407808702,589311.9843237773,0.76
541118.0583559481,627683.8357706973,7.0
612077.0649773852,618459.0300611136,8.0
789074.2231328079,595286.0021579387,6.86
796925.900986547,594261.6767447852,4.0
225461.38686181017,672958.8464639662,0.84
265071.86133764894,667784.093423591,2.8
371894.56376021646,653794.1014601588,1.2
608635.3101649585,622899.0114508979,1.38
754247.0007535568,603866.6387163922,3.37
793520.4183383863,598708.0809493223,5.0
801376.6883138876,597691.7396675553,7.0
824901.0003222895,594658.7620266806,4.0
293284.1301349411,668091.5990630621,1.6625
313084.68317475665,665474.1380473999,6.0
380308.05597715406,656728.9875127962,4.65
384251.4660291254,656212.6227074573,3.04
565797.7027178523,632523.7566887811,5.0
636711.1134619399,623223.2840574225,6.0
790112.5302559908,603156.2016043905,4.5625
821496.9872909901,599060.1576804183,6.0
825410.6724486443,598572.0133749275,8.0
325445.9979468374,667890.4066742426,3.8850000000000002
349209.4870862629,664835.4932297822,3.46
372926.2399478069,661708.9193703262,7.0
589961.2610114145,633367.8589833081,6.3
739539.57761665,613802.0211449694,5.0
822006.223655384,602972.8279546751,15.0
629881.3932239495,632156.0766888829,1.31
775437.8202823367,613101.3380322075,6.0
791145.4491683671,611026.7867181879,5.0
795075.2216288971,610516.1855704011,2.56
350228.5750302461,672719.7889918284,4.325
590985.0215994732,641230.7355103875,2.4375
606739.4329793921,639169.7137767402,7.54
614623.0985095708,638131.1296661729,0.17
650069.7716140861,633478.7018247982,4.1125
783801.6092506319,615991.399067156,4.0
334916.69266452227,678741.5598664861,0.585
362599.88144710043,675106.7223460944,6.0
575745.3947857433,647217.9388310788,2.55
603312.2037106641,643627.0363198165,4.0
764676.4324717233,622495.0835689474,15.075
803972.2046705359,617380.1500875782,9.0
351245.2327062712,680604.2194340788,10.0
682576.574007482,637214.2666552663,5.0
698307.7678278126,635177.1755649624,2.4499999999999997
