x,y,waga
560386.6149883675,212630.95502847712,1.0
576179.3262763064,210662.7972716689,1.0
603758.322407974,207230.73689962458,1.0
737508.8168193656,190632.9587064609,1.0
757145.9533696498,188171.1135647893,0.4375
489894.0928617775,225348.85364952404,1.0
738475.4579305568,198523.84703628905,1.0
750265.3752728476,197050.6131592039,0.69
332853.04291371105,252842.10750441812,0.9075
526365.6577067863,228808.11630651727,1.62
754687.8205010974,200475.06698571518,0.24
329383.2692065795,257290.76456575003,1.0
337304.4005439235,256319.69599231984,1.01
341265.81896324235,255838.65686908364,4.4425
483489.5445214192,238216.55804347154,0.305
522924.8010253681,233238.40835319087,0.57
731614.5831926054,207340.86920334212,1.0
341758.88237004646,259800.84896892868,5.0
404974.3953013036,252000.4992529843,1.0
448438.0119475509,246526.35273009446,1.0
720318.4263871135,212754.66860050987,0.1375
326397.1680495426,265703.72410707455,3.46
342251.44481045404,263762.98231558874,3.1125
346216.8576081244,263299.1457754979,5.0
405463.93983979116,255924.9228831185,0.8775000000000001
618480.2116528158,229382.70500763413,1.0
322923.9595993692,270157.44776296895,4.665
326883.16454007576,269665.1556927422,2.49
334812.1948437237,268689.20680406503,0.4325
342743.50911451154,267725.1680773506,4.0375
346708.0777843903,267258.1272437321,2.9725
350673.19596650614,266793.9496561829,4.295
354638.9374557872,266332.74453476723,4.8575
319456.8485858446,274613.7093786616,1.77
323412.52276504086,274118.7424374325,4.0
327368.7700063265,273626.74557373766,1.0
339267.63755227206,272167.65473040566,2.0
351163.13851244655,270749.6693671942,2.0
355128.04321322415,270285.26543866564,3.85
465707.79739690357,256433.3482261775,1.0
595853.3065156899,240216.22865553014,0.345
312044.19684951764,279572.8961154651,1.0
315995.7622252952,279072.2865715334,2.0
319947.9026462711,278574.64633612987,4.8025
323900.6173182167,278079.9754196303,4.0
339757.2562544674,276129.77260042634,0.9175
351652.5761413593,274705.55339410156,2.7925
454340.83778035315,261868.34230307955,0.5225
304665.0528451924,284597.83899729326,2.45
308602.5748032258,284064.14168621507,0.6375
312540.7141817329,283533.399151369,2.0
316489.3176720793,283033.0872147642,3.0
320438.42554792605,282535.7462488953,3.335
324388.1754371687,282041.2602428729,1.0
344216.7018522355,279611.8178536659,2.48
348178.77966948826,279135.0530386567,3.0
320942.13879644393,286503.33072776254,2.0
344705.95496625686,283546.53875900526,2.7199999999999998
348667.29050180956,283070.01634386275,3.0225
305659.15044607955,292504.2359136734,2.0
309604.78516107623,291991.431788357,4.9475
313551.0838660315,291481.70979096554,5.0
317497.966861934,290974.85027745645,4.0
337267.16324592684,288470.7833119733,1.7025000000000001
341230.63774042414,287974.49517770857,1.0
310105.26875103405,295955.25985027105,3.005
341722.0564883861,291915.9045683993,2.0
353603.3529702979,290466.939056023,0.66
614064.2983644587,257947.80790792033,0.3025
318504.6225735672,298916.93193648104,2.0
334299.41280351765,296879.48722513113,2.0
338255.85087485786,296366.931896992,0.2475
697164.1232979881,251530.48813291173,1.0
358541.78736160276,297874.76479453314,1.0
795928.3173613333,243190.12602372002,0.235
291794.436623938,310314.78702470567,1.0
319481.4541170455,306818.34067560825,1.0
323434.73021524126,306315.1736283619,2.0
540650.2537725097,279113.3418478463,1.0
694227.930530039,259907.72738590743,0.95
698159.3677904692,259412.7898037564,2.0
725670.7946883278,255972.03412970994,0.265
288314.36478945194,314764.3469447205,5.0
300179.8776508132,313201.86991397943,1.0
316012.71005660447,311271.773048304,1.0
319969.10747342824,310769.121134609,3.55
327883.8066059309,309772.83207305335,1.0
367435.8271843405,304774.79936892353,1.0
765456.94738115,254965.6758400295,1.0
288786.9564475118,318686.60358366463,0.4
300657.1454532661,317134.78347133566,1.8625
308575.5822772571,316170.8482819041,3.985
316496.2004817596,315219.08917262126,3.0
320456.36979911523,314719.94830880594,1.83
324417.1938553913,314223.8208740959,3.5775
328378.5305381904,313730.7116936082,1.0
450883.1617812276,298333.94609254785,1.0
486408.48925636016,293925.729412931,0.69
541628.0040698695,286958.0799304228,2.0
553461.6106831665,285480.4862108156,1.0
269500.29965129396,325111.2334469296,1.0
273854.0337652189,324572.36315242667,1.0
277414.1782958021,324134.124961813,4.3875
281371.8688800131,323650.0505498862,2.0
289287.14647227444,322645.95370891225,1.595
301161.51145370875,321094.5184814185,5.0
305117.45431403327,320611.4027512567,0.5275
309073.9386314334,320131.19130592886,1.865
313030.97176951927,319654.10642418545,2.0
324911.89507737407,318171.1811110731,1.0
372373.1072324071,312194.28469075356,1.3
494810.8694634464,296884.303129687,0.035
735025.9595374579,266758.90148379095,1.0
246239.91595705654,332109.2911734395,4.9625
254151.13402211622,331116.785831172,1.0
258110.663472971,330597.0888384599,3.0
262070.68085164024,330080.4301603623,5.0
266031.2557018165,329566.80642431043,3.0
269992.4575906495,329056.2144767903,2.0675
273950.6834403994,328569.7429104373,1.0
301665.4925967989,325054.411202359,2.0
313525.93430515134,323614.9103763094,2.315
325406.1194958879,322118.7034294214,0.295
495310.2828003777,300830.084296708,0.885
782654.1708961045,264763.3036130257,1.0
246732.17858833395,336053.5551303793,4.0
250688.94771495878,335555.8518496603,5.0
258604.85985332757,334541.67046402395,1.0
262564.1144622079,334025.191602502,0.1725
278404.2649112346,332038.2972291978,0.83
282365.09524701093,331561.32138573285,4.8825
286326.3760669217,331087.4941049479,2.0
771361.7075627141,270162.5948932534,1.0
239309.41432045438,341002.02953186724,4.8325000000000005
243266.4829502997,340498.31245767046,5.0
247224.07234659512,339997.63636644185,2.1075
251182.18694249965,339500.112310037,4.8475
255140.81510114635,339005.5179709513,1.0525
259098.67186241972,338486.182544264,1.6875
282861.0141424206,335517.1389942523,3.0
294746.73676843406,334004.52904680837,2.5875
302671.9289213795,332974.23880613316,1.0
314514.32021653757,331536.5608909065,1.0
437072.7069657859,316158.39132972807,0.2
685417.1335243457,284963.62261813134,1.0
239807.70311962013,344959.59372365475,2.7675
243766.1617251952,344455.9372867774,4.5225
247725.07191243573,343955.3311779704,3.405
251684.5732940222,343457.7684302917,1.3
263554.73436050944,341928.20296209306,1.0
267510.6789555752,341415.2353316918,1.0
287319.75242842356,338978.50439424254,3.0
295237.17590437067,337950.53687115107,0.4725
338773.82451477216,332452.4731036816,1.0
421762.3574428216,322091.30013582855,1.0
212559.70965024113,352321.0817735167,0.8675
248225.69821158095,347913.06699884403,0.0225
252186.5132186286,347415.58085610904,2.5175
264051.99256904295,345886.6727910107,1.0
268004.9094656615,345374.1041391082,1.0
283850.2166634748,343394.2332664877,3.0
287815.23555930785,342910.2977651367,2.985
291770.8897221624,342401.9824457411,1.0
339270.74126989616,336414.38155927975,0.6925
418323.5134486694,326536.0971927196,0.9175
658836.7512594857,296333.833597525,1.0
228912.64856712928,354331.1150637008,2.0
232875.7032867662,353842.6261296226,1.0
236839.1772600485,353357.2036580527,2.7
248725.9508153556,351870.84388047084,3.5725
260599.5402311245,350360.61481522024,4.885
288310.2875547325,346842.0260638399,3.435
292263.21434648987,346341.0084066726,1.0
422778.41459131974,329970.5351512525,1.0
245262.86558621787,356329.06015596073,1.0
253189.31181750415,355331.21685831156,1.0
261099.04784985204,354318.88162465673,0.8350000000000001
265045.32920146215,353803.7414126154,1.0
272939.583039752,352782.7929050587,3.0
754204.5299428988,292283.9881971432,1.0
221963.23413629824,363208.2192377141,0.74
229904.75983741722,362235.4107906325,1.0
233868.4769285798,361750.69043353107,4.765
241797.28592910207,360790.244995255,1.0
253690.17483626644,359289.1516722953,1.0
297203.8814269537,353749.02825763356,1.0
423774.29150144086,337850.06744542066,1.0
774350.9830635365,293740.2630304042,1.0
794003.479195403,291290.49992029835,1.0
246258.85523025834,364244.56482922286,1.0
